CUSTOMERNAME,CONTACTLASTNAME,CONTACTFIRSTNAME,PHONE_STAND,ADDRESSLINE1,CITY,STATE,POSTALCODE,COUNTRY,CUSTOMER_ID
Mini Caravy,Citeaux,Frederique,+3388601555,"24, place Kluber",Strasbourg,Unknown,67000,France,1404
Muscle Machine Inc,Young,Jeff,+12125557413,4092 Furth Circle,NYC,NY,10022,USA,1405
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1406
Handji Gifts& Co,Victorino,Wendy,+65652241555,Village Close - 106 Linden Road Sandown,Singapore,Unknown,69045,Singapore,1407
"UK Collectables, Ltd.",Devon,Elizabeth,+441715552282,Berkeley Gardens 12  Brewery,Liverpool,Unknown,WX1 6LT,UK,1408
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1409
"AV Stores, Co.",Ashworth,Victoria,+441715551555,Fauntleroy Circus,Manchester,Unknown,EC2 5NT,UK,1410
Marseille Mini Autos,Lebihan,Laurence,+3391244555,"12, rue des Bouchers",Marseille,Unknown,13008,France,1411
Toys4GrownUps.com,Young,Julie,+16265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,1412
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1413
The Sharp Gifts Warehouse,Frick,Sue,+14085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,1414
Souveniers And Things Co.,Huxley,Adrian,+6161294958555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,1415
"AV Stores, Co.",Ashworth,Victoria,+441715551555,Fauntleroy Circus,Manchester,Unknown,EC2 5NT,UK,1416
Signal Gift Stores,King,Sue,+17025551838,8489 Strong St.,Las Vegas,NV,83030,USA,1417
"Anna's Decorations, Ltd",O'Hara,Anna,+610299368555,201 Miller Street,North Sydney,NSW,2060,Australia,1418
Heintze Collectables,Ibsen,Palle,+4586213555,Smagsloget 45,Aaarhus,Unknown,8200,Denmark,1419
Gift Depot Inc.,King,Julie,+12035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,1420
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,1421
Online Diecast Creations Co.,Young,Valarie,+16035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,1422
Muscle Machine Inc,Young,Jeff,+12125557413,4092 Furth Circle,NYC,NY,10022,USA,1423
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1424
Collectable Mini Designs Co.,Thompson,Valarie,+17605558146,361 Furth Circle,San Diego,CA,91217,USA,1425
Mini Caravy,Citeaux,Frederique,+3388601555,"24, place Kluber",Strasbourg,Unknown,67000,France,1426
Muscle Machine Inc,Young,Jeff,+12125557413,4092 Furth Circle,NYC,NY,10022,USA,1427
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1428
Handji Gifts& Co,Victorino,Wendy,+65652241555,Village Close - 106 Linden Road Sandown,Singapore,Unknown,69045,Singapore,1429
"Norway Gifts By Mail, Co.",Klaeboe,Jan,+474722121555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,Unknown,N 0106,Norway,1430
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1431
FunGiftIdeas.com,Benitez,Violeta,+15085552555,1785 First Street,New Bedford,MA,50553,USA,1432
"AV Stores, Co.",Ashworth,Victoria,+441715551555,Fauntleroy Circus,Manchester,Unknown,EC2 5NT,UK,1433
Marseille Mini Autos,Lebihan,Laurence,+3391244555,"12, rue des Bouchers",Marseille,Unknown,13008,France,1434
Toys4GrownUps.com,Young,Julie,+16265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,1435
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1436
The Sharp Gifts Warehouse,Frick,Sue,+14085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,1437
Souveniers And Things Co.,Huxley,Adrian,+6161294958555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,1438
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1439
Classic Legends Inc.,Hernandez,Maria,+12125558493,5905 Pompton St.,NYC,NY,10022,USA,1440
Muscle Machine Inc,Young,Jeff,+12125557413,4092 Furth Circle,NYC,NY,10022,USA,1441
Suominen Souveniers,Suominen,Kalle,+35835898045555,"Software Engineering Center, SEC Oy",Espoo,Unknown,FIN-02271,Finland,1442
"Australian Gift Network, Co",Calaghan,Tony,+6161738446555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,1443
"Dragon Souveniers, Ltd.",Natividad,Eric,+65652217555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Unknown,79903,Singapore,1444
L'ordine Souveniers,Moroni,Maurizio,+390522556555,Strada Provinciale 124,Reggio Emilia,Unknown,42100,Italy,1445
"Iberia Gift Imports, Corp.",Roel,Jose Pedro,+34955558282,"C/ Romero, 33",Sevilla,Unknown,41101,Spain,1446
Mini Classics,Frick,Steve,+19145554562,3758 North Pendale Street,White Plains,NY,24067,USA,1447
Diecast Collectables,Franco,Valarie,+16175552555,6251 Ingle Ln.,Boston,MA,51003,USA,1448
"Clover Collections, Co.",Cassidy,Dean,+35335318621555,25 Maiden Lane,Dublin,Unknown,2,Ireland,1449
"Blauer See Auto, Co.",Keitel,Roland,+49496966902555,Lyonerstr. 34,Frankfurt,Unknown,60528,Germany,1450
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1451
Handji Gifts& Co,Victorino,Wendy,+65652241555,Village Close - 106 Linden Road Sandown,Singapore,Unknown,69045,Singapore,1452
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,1453
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,1454
Land of Toys Inc.,Yu,Kwai,+12125557818,897 Long Airport Avenue,NYC,NY,10022,USA,1455
Marta's Replicas Co.,Hernandez,Marta,+16175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,1456
Heintze Collectables,Ibsen,Palle,+4586213555,Smagsloget 45,Aaarhus,Unknown,8200,Denmark,1457
Vitachrome Inc.,Frick,Michael,+12125551500,2678 Kingston Rd.,NYC,NY,10022,USA,1458
"La Corne D'abondance, Co.",Bertrand,Marie,+33142342555,"265, boulevard Charonne",Paris,Unknown,75012,France,1459
Muscle Machine Inc,Young,Jeff,+12125557413,4092 Furth Circle,NYC,NY,10022,USA,1460
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1461
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,1462
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1463
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1464
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1465
La Rochelle Gifts,Labrune,Janine,+3340678555,"67, rue des Cinquante Otages",Nantes,Unknown,44000,France,1466
Land of Toys Inc.,Yu,Kwai,+12125557818,897 Long Airport Avenue,NYC,NY,10022,USA,1467
"Australian Collectors, Co.",Ferguson,Peter,+610395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,1468
Lyon Souveniers,Da Cunha,Daniel,+3333146627555,27 rue du Colonel Pierre Avia,Paris,Unknown,75508,France,1469
Toys4GrownUps.com,Young,Julie,+16265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,1470
Corporate Gift Ideas Co.,Brown,Julie,+16505551386,7734 Strong St.,San Francisco,CA,Unknown,USA,1471
Technics Stores Inc.,Hirano,Juri,+16505556809,9408 Furth Circle,Burlingame,CA,94217,USA,1472
Daedalus Designs Imports,Rance,Martine,+3320161555,"184, chausse de Tournai",Lille,Unknown,59000,France,1473
Herkku Gifts,Oeztan,Veysel,+474722673215,"Drammen 121, PR 744 Sentrum",Bergen,Unknown,N 5804,Norway,1474
Mini Wheels Co.,Murphy,Julie,+16505555787,5557 North Pendale Street,San Francisco,CA,Unknown,USA,1475
Auto Canal Petit,Perrier,Dominique,+33147556555,"25, rue Lauriston",Paris,Unknown,75016,France,1476
"Australian Collectors, Co.",Ferguson,Peter,+610395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,1477
Vitachrome Inc.,Frick,Michael,+12125551500,2678 Kingston Rd.,NYC,NY,10022,USA,1478
Tekni Collectables Inc.,Brown,William,+12015559350,7476 Moss Rd.,Newark,NJ,94019,USA,1479
Gift Depot Inc.,King,Julie,+12035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,1480
La Rochelle Gifts,Labrune,Janine,+3340678555,"67, rue des Cinquante Otages",Nantes,Unknown,44000,France,1481
Marta's Replicas Co.,Hernandez,Marta,+16175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,1482
"Toys of Finland, Co.",Karttunen,Matti,+358902248555,Keskuskatu 45,Helsinki,Unknown,21240,Finland,1483
Baane Mini Imports,Bergulfsen,Jonas,+4707989555,Erling Skakkes gate 78,Stavern,Unknown,4110,Norway,1484
Diecast Classics Inc.,Yu,Kyung,+12155551555,7586 Pompton St.,Allentown,PA,70267,USA,1485
Land of Toys Inc.,Yu,Kwai,+12125557818,897 Long Airport Avenue,NYC,NY,10022,USA,1486
"Tokyo Collectables, Ltd",Shimamura,Akiko,+8181335840555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,1487
Technics Stores Inc.,Hirano,Juri,+16505556809,9408 Furth Circle,Burlingame,CA,94217,USA,1488
"Australian Gift Network, Co",Calaghan,Tony,+6161738446555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,1489
Scandinavian Gift Ideas,Larsson,Maria,+460695346555,?kergatan 24,Boras,Unknown,S-844 67,Sweden,1490
"UK Collectables, Ltd.",Devon,Elizabeth,+441715552282,Berkeley Gardens 12  Brewery,Liverpool,Unknown,WX1 6LT,UK,1491
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1492
"AV Stores, Co.",Ashworth,Victoria,+441715551555,Fauntleroy Circus,Manchester,Unknown,EC2 5NT,UK,1493
Atelier graphique,Schmitt,Carine,+3340322555,"54, rue Royale",Nantes,Unknown,44000,France,1494
Reims Collectables,Henriot,Paul,+3326471555,59 rue de l'Abbaye,Reims,Unknown,51100,France,1495
"Anna's Decorations, Ltd",O'Hara,Anna,+610299368555,201 Miller Street,North Sydney,NSW,2060,Australia,1496
Heintze Collectables,Ibsen,Palle,+4586213555,Smagsloget 45,Aaarhus,Unknown,8200,Denmark,1497
Gift Depot Inc.,King,Julie,+12035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,1498
Herkku Gifts,Oeztan,Veysel,+474722673215,"Drammen 121, PR 744 Sentrum",Bergen,Unknown,N 5804,Norway,1499
Online Diecast Creations Co.,Young,Valarie,+16035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,1500
Muscle Machine Inc,Young,Jeff,+12125557413,4092 Furth Circle,NYC,NY,10022,USA,1501
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1502
Collectable Mini Designs Co.,Thompson,Valarie,+17605558146,361 Furth Circle,San Diego,CA,91217,USA,1503
Mini Caravy,Citeaux,Frederique,+3388601555,"24, place Kluber",Strasbourg,Unknown,67000,France,1504
L'ordine Souveniers,Moroni,Maurizio,+390522556555,Strada Provinciale 124,Reggio Emilia,Unknown,42100,Italy,1505
Signal Gift Stores,King,Sue,+17025551838,8489 Strong St.,Las Vegas,NV,83030,USA,1506
Handji Gifts& Co,Victorino,Wendy,+65652241555,Village Close - 106 Linden Road Sandown,Singapore,Unknown,69045,Singapore,1507
"Norway Gifts By Mail, Co.",Klaeboe,Jan,+474722121555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,Unknown,N 0106,Norway,1508
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1509
FunGiftIdeas.com,Benitez,Violeta,+15085552555,1785 First Street,New Bedford,MA,50553,USA,1510
"AV Stores, Co.",Ashworth,Victoria,+441715551555,Fauntleroy Circus,Manchester,Unknown,EC2 5NT,UK,1511
Reims Collectables,Henriot,Paul,+3326471555,59 rue de l'Abbaye,Reims,Unknown,51100,France,1512
Toys4GrownUps.com,Young,Julie,+16265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,1513
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1514
The Sharp Gifts Warehouse,Frick,Sue,+14085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,1515
Souveniers And Things Co.,Huxley,Adrian,+6161294958555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,1516
Rovelli Gifts,Rovelli,Giovanni,+39035640555,Via Ludovico il Moro 22,Bergamo,Unknown,24100,Italy,1517
"Australian Collectors, Co.",Ferguson,Peter,+610395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,1518
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1519
Toys4GrownUps.com,Young,Julie,+16265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,1520
Technics Stores Inc.,Hirano,Juri,+16505556809,9408 Furth Circle,Burlingame,CA,94217,USA,1521
Osaka Souveniers Co.,Kentary,Mory,+81810663425555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,1522
"Australian Collectors, Co.",Ferguson,Peter,+610395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,1523
"Royal Canadian Collectables, Ltd.",Lincoln,Elizabeth,+16045554555,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,1524
The Sharp Gifts Warehouse,Frick,Sue,+14085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,1525
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1526
La Rochelle Gifts,Labrune,Janine,+3340678555,"67, rue des Cinquante Otages",Nantes,Unknown,44000,France,1527
"Norway Gifts By Mail, Co.",Klaeboe,Jan,+474722121555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,Unknown,N 0106,Norway,1528
"Clover Collections, Co.",Cassidy,Dean,+35335318621555,25 Maiden Lane,Dublin,Unknown,2,Ireland,1529
Mini Classics,Frick,Steve,+19145554562,3758 North Pendale Street,White Plains,NY,24067,USA,1530
giftsbymail.co.uk,Bennett,Helen,+441985558888,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,1531
Rovelli Gifts,Rovelli,Giovanni,+39035640555,Via Ludovico il Moro 22,Bergamo,Unknown,24100,Italy,1532
"Tokyo Collectables, Ltd",Shimamura,Akiko,+8181335840555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,1533
Gift Ideas Corp.,Lewis,Dan,+12035554407,2440 Pompton St.,Glendale,CT,97561,USA,1534
"Australian Gift Network, Co",Calaghan,Tony,+6161738446555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,1535
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1536
Reims Collectables,Henriot,Paul,+3326471555,59 rue de l'Abbaye,Reims,Unknown,51100,France,1537
Tekni Collectables Inc.,Brown,William,+12015559350,7476 Moss Rd.,Newark,NJ,94019,USA,1538
L'ordine Souveniers,Moroni,Maurizio,+390522556555,Strada Provinciale 124,Reggio Emilia,Unknown,42100,Italy,1539
"Blauer See Auto, Co.",Keitel,Roland,+49496966902555,Lyonerstr. 34,Frankfurt,Unknown,60528,Germany,1540
"AV Stores, Co.",Ashworth,Victoria,+441715551555,Fauntleroy Circus,Manchester,Unknown,EC2 5NT,UK,1541
Signal Gift Stores,King,Sue,+17025551838,8489 Strong St.,Las Vegas,NV,83030,USA,1542
Signal Collectibles Ltd.,Taylor,Sue,+14155554312,2793 Furth Circle,Brisbane,CA,94217,USA,1543
Corporate Gift Ideas Co.,Brown,Julie,+16505551386,7734 Strong St.,San Francisco,CA,Unknown,USA,1544
Rovelli Gifts,Rovelli,Giovanni,+39035640555,Via Ludovico il Moro 22,Bergamo,Unknown,24100,Italy,1545
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,1546
"Australian Collectables, Ltd",Connery,Sean,+6161938446555,7 Allen Street,Glen Waverly,Victoria,3150,Australia,1547
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1548
"Corrida Auto Replicas, Ltd",Sommer,Mart¡n,+34915552282,"C/ Araquil, 67",Madrid,Unknown,28023,Spain,1549
"Saveley & Henriot, Co.",Saveley,Mary,+3378325555,"2, rue du Commerce",Lyon,Unknown,69004,France,1550
Diecast Collectables,Franco,Valarie,+16175552555,6251 Ingle Ln.,Boston,MA,51003,USA,1551
Amica Models & Co.,Accorti,Paolo,+390114988555,Via Monte Bianco 34,Torino,Unknown,10100,Italy,1552
Handji Gifts& Co,Victorino,Wendy,+65652241555,Village Close - 106 Linden Road Sandown,Singapore,Unknown,69045,Singapore,1553
Auto Assoc. & Cie.,Tonini,Daniel,+3330598555,"67, avenue de l'Europe",Versailles,Unknown,78000,France,1554
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,1555
Online Diecast Creations Co.,Young,Valarie,+16035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,1556
"AV Stores, Co.",Ashworth,Victoria,+441715551555,Fauntleroy Circus,Manchester,Unknown,EC2 5NT,UK,1557
Marseille Mini Autos,Lebihan,Laurence,+3391244555,"12, rue des Bouchers",Marseille,Unknown,13008,France,1558
Lyon Souveniers,Da Cunha,Daniel,+3333146627555,27 rue du Colonel Pierre Avia,Paris,Unknown,75508,France,1559
Toys4GrownUps.com,Young,Julie,+16265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,1560
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1561
"Anna's Decorations, Ltd",O'Hara,Anna,+610299368555,201 Miller Street,North Sydney,NSW,2060,Australia,1562
Handji Gifts& Co,Victorino,Wendy,+65652241555,Village Close - 106 Linden Road Sandown,Singapore,Unknown,69045,Singapore,1563
Souveniers And Things Co.,Huxley,Adrian,+6161294958555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,1564
Land of Toys Inc.,Yu,Kwai,+12125557818,897 Long Airport Avenue,NYC,NY,10022,USA,1565
"Australian Collectors, Co.",Ferguson,Peter,+610395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,1566
Lyon Souveniers,Da Cunha,Daniel,+3333146627555,27 rue du Colonel Pierre Avia,Paris,Unknown,75508,France,1567
Toys4GrownUps.com,Young,Julie,+16265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,1568
Baane Mini Imports,Bergulfsen,Jonas,+4707989555,Erling Skakkes gate 78,Stavern,Unknown,4110,Norway,1569
Technics Stores Inc.,Hirano,Juri,+16505556809,9408 Furth Circle,Burlingame,CA,94217,USA,1570
Daedalus Designs Imports,Rance,Martine,+3320161555,"184, chausse de Tournai",Lille,Unknown,59000,France,1571
Herkku Gifts,Oeztan,Veysel,+474722673215,"Drammen 121, PR 744 Sentrum",Bergen,Unknown,N 5804,Norway,1572
Mini Wheels Co.,Murphy,Julie,+16505555787,5557 North Pendale Street,San Francisco,CA,Unknown,USA,1573
Osaka Souveniers Co.,Kentary,Mory,+81810663425555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,1574
"Australian Collectors, Co.",Ferguson,Peter,+610395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,1575
Motor Mint Distributors Inc.,Hernandez,Rosa,+12155559857,11328 Douglas Av.,Philadelphia,PA,71270,USA,1576
The Sharp Gifts Warehouse,Frick,Sue,+14085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,1577
Gift Depot Inc.,King,Julie,+12035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,1578
La Rochelle Gifts,Labrune,Janine,+3340678555,"67, rue des Cinquante Otages",Nantes,Unknown,44000,France,1579
Marta's Replicas Co.,Hernandez,Marta,+16175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,1580
"Clover Collections, Co.",Cassidy,Dean,+35335318621555,25 Maiden Lane,Dublin,Unknown,2,Ireland,1581
Mini Classics,Frick,Steve,+19145554562,3758 North Pendale Street,White Plains,NY,24067,USA,1582
Diecast Classics Inc.,Yu,Kyung,+12155551555,7586 Pompton St.,Allentown,PA,70267,USA,1583
Land of Toys Inc.,Yu,Kwai,+12125557818,897 Long Airport Avenue,NYC,NY,10022,USA,1584
Enaco Distributors,Saavedra,Eduardo,+34932034555,"Rambla de Catalu¤a, 23",Barcelona,Unknown,8022,Spain,1585
Suominen Souveniers,Suominen,Kalle,+35835898045555,"Software Engineering Center, SEC Oy",Espoo,Unknown,FIN-02271,Finland,1586
La Rochelle Gifts,Labrune,Janine,+3340678555,"67, rue des Cinquante Otages",Nantes,Unknown,44000,France,1587
Scandinavian Gift Ideas,Larsson,Maria,+460695346555,?kergatan 24,Boras,Unknown,S-844 67,Sweden,1588
Auto Canal Petit,Perrier,Dominique,+33147556555,"25, rue Lauriston",Paris,Unknown,75016,France,1589
L'ordine Souveniers,Moroni,Maurizio,+390522556555,Strada Provinciale 124,Reggio Emilia,Unknown,42100,Italy,1590
Danish Wholesale Imports,Petersen,Jytte,+4531123555,Vinb'ltet 34,Kobenhavn,Unknown,1734,Denmark,1591
"Dragon Souveniers, Ltd.",Natividad,Eric,+65652217555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Unknown,79903,Singapore,1592
"Stylish Desk Decors, Co.",Brown,Ann,+441715550297,35 King George,London,Unknown,WX3 6FW,UK,1593
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,1594
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1595
Scandinavian Gift Ideas,Larsson,Maria,+460695346555,?kergatan 24,Boras,Unknown,S-844 67,Sweden,1596
CAF Imports,Fernandez,Jesus,+3434913728555,"Merchants House, 27-30 Merchant's Quay",Madrid,Unknown,28023,Spain,1597
Mini Creations Ltd.,Tam,Wing C,+15085559555,4575 Hillside Dr.,New Bedford,MA,50553,USA,1598
Enaco Distributors,Saavedra,Eduardo,+34932034555,"Rambla de Catalu¤a, 23",Barcelona,Unknown,8022,Spain,1599
"Saveley & Henriot, Co.",Saveley,Mary,+3378325555,"2, rue du Commerce",Lyon,Unknown,69004,France,1600
Petit Auto,Dewey,Catherine,+3202555467,Rue Joseph-Bens 532,Bruxelles,Unknown,B-1180,Belgium,1601
giftsbymail.co.uk,Bennett,Helen,+441985558888,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,1602
Land of Toys Inc.,Yu,Kwai,+12125557818,897 Long Airport Avenue,NYC,NY,10022,USA,1603
Quebec Home Shopping Network,Fresnisre,Jean,+15145558054,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada,1604
Petit Auto,Dewey,Catherine,+3202555467,Rue Joseph-Bens 532,Bruxelles,Unknown,B-1180,Belgium,1605
"Royal Canadian Collectables, Ltd.",Lincoln,Elizabeth,+16045554555,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,1606
Amica Models & Co.,Accorti,Paolo,+390114988555,Via Monte Bianco 34,Torino,Unknown,10100,Italy,1607
"AV Stores, Co.",Ashworth,Victoria,+441715551555,Fauntleroy Circus,Manchester,Unknown,EC2 5NT,UK,1608
La Rochelle Gifts,Labrune,Janine,+3340678555,"67, rue des Cinquante Otages",Nantes,Unknown,44000,France,1609
"Volvo Model Replicas, Co",Berglund,Christina,+460921123555,Berguvsvgen  8,Lule,Unknown,S-958 22,Sweden,1610
Classic Legends Inc.,Hernandez,Maria,+12125558493,5905 Pompton St.,NYC,NY,10022,USA,1611
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1612
"Tokyo Collectables, Ltd",Shimamura,Akiko,+8181335840555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,1613
Corporate Gift Ideas Co.,Brown,Julie,+16505551386,7734 Strong St.,San Francisco,CA,Unknown,USA,1614
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,1615
Gifts4AllAges.com,Yoshido,Juri,+16175559555,8616 Spinnaker Dr.,Boston,MA,51003,USA,1616
"Blauer See Auto, Co.",Keitel,Roland,+49496966902555,Lyonerstr. 34,Frankfurt,Unknown,60528,Germany,1617
"AV Stores, Co.",Ashworth,Victoria,+441715551555,Fauntleroy Circus,Manchester,Unknown,EC2 5NT,UK,1618
Signal Gift Stores,King,Sue,+17025551838,8489 Strong St.,Las Vegas,NV,83030,USA,1619
Signal Collectibles Ltd.,Taylor,Sue,+14155554312,2793 Furth Circle,Brisbane,CA,94217,USA,1620
Corporate Gift Ideas Co.,Brown,Julie,+16505551386,7734 Strong St.,San Francisco,CA,Unknown,USA,1621
Rovelli Gifts,Rovelli,Giovanni,+39035640555,Via Ludovico il Moro 22,Bergamo,Unknown,24100,Italy,1622
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,1623
"Australian Collectables, Ltd",Connery,Sean,+6161938446555,7 Allen Street,Glen Waverly,Victoria,3150,Australia,1624
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1625
"Corrida Auto Replicas, Ltd",Sommer,Mart¡n,+34915552282,"C/ Araquil, 67",Madrid,Unknown,28023,Spain,1626
"Saveley & Henriot, Co.",Saveley,Mary,+3378325555,"2, rue du Commerce",Lyon,Unknown,69004,France,1627
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,1628
Mini Caravy,Citeaux,Frederique,+3388601555,"24, place Kluber",Strasbourg,Unknown,67000,France,1629
Amica Models & Co.,Accorti,Paolo,+390114988555,Via Monte Bianco 34,Torino,Unknown,10100,Italy,1630
Herkku Gifts,Oeztan,Veysel,+474722673215,"Drammen 121, PR 744 Sentrum",Bergen,Unknown,N 5804,Norway,1631
Auto Assoc. & Cie.,Tonini,Daniel,+3330598555,"67, avenue de l'Europe",Versailles,Unknown,78000,France,1632
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,1633
Online Diecast Creations Co.,Young,Valarie,+16035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,1634
